globalism,lib,prog,name,soc
95,80,90,David Swift,100
95,95,90,Bwni,100
90,100,100,seasmin,100
98,71,94,Shaun,46
95,85,95,MTFD,23
98,98,97,HK,98
75,98,72,AJ Lee,96
80,81,72,Adam,52
88,86,82,bloodycontrary,69
70,90,80,aif,80
89,96,88,Zygark,96
89,89,59,Chain Chompsky,98
91,80,90,JellyCow,94
87,97,92,Lily,96
91,76,95,Chaw,42
86,72,87,arichteabiscuit,95
85,75,66,StyreotypicalLurker,92
85,66,78,Captain,73
88,63,84,Maro,84
100,50,95,Thispootispower,85
95,70,95,Daisy,20
85,51,98,Archism,95
95,45,75,TheNoHeart,35
85,100,100,Alexa,55
80,80,100,Ma8dison,85
77,71,83,SoSaturnistic,80
75,70,60,Cody,20
75,45,60,Not_a_bonobo,40
75,80,75,Marjin,85
85,40,90,Emma,90
86,59,79,RickCall12,84
79,59,78,SmashBrosGuys,90
71,73,69,Randomman44,52
85,85,90,Explo,75
62,47,56,SnecBoi,69
79,61,70,ViktorHR,69
66,38,60,Samuel,47
73,79,71,ZanyDraco,68
72,67,74,Kef,51
65,58,68,pjr,52
45,50,65,Callum,45
70,30,65,Dylan,75
65,40,75,3Commas,40
70,80,80,Chatty,75
85,20,95,Seimer1234,30
55,35,85,TheOWOTrongle,80
49,42,44,Kingthero,45
70,33,61,David (Tony),73
40,53,37,MatthewHinton12345,34
58,63,45,jmam2503,11
60,55,80,duncs11,65
45,65,60,Elleeit,10
44,39,59,Greejatus/HJT,24
21,69,46,Saldol,48
65,25,40,VerkhovnaGeordie,30
65,15,65,Comped,30
75,10,70,Britboy,55
40,60,90,cthulhuiscool2,20
90,30,95,Pandanub,75
34,36,59,Tarkin15,25
20,10,30,Claude,100
75,50,50,Harlus,80
30,15,30,Ctrlaltlama,15
60,85,40,Rabbit,5
36,38,42,DriftersBuddy,38
63,65,77,Saunders,60
78,83,88,Damien,37
84,82,83,Copelonian,73
79,80,88,DemonJames,51
96,89,91,Liesel,97
